"id","meeting_id","flow_name","flow_step","flow_content","status","date_time"
"2901","100000021",,"7","<p><br></p><p><img src=""https://f.shyunhua.com//yzxfile/5ea51c6a3c97f__!5da045818771b__!9.jpg""></p>","1",
"2902","100000021",,"8","{""min"":""90""}","1",
"2903","100000021",,"9","{""min"":""80""}","1",
"2904","100000021",,"10",,"1",
"2905","100000021",,"11",,"1",
"2906","100000021",,"12",,"1",
"2931","100000024",,"1","{""min"":""1"",""c_min"":""1""}","3",
"2932","100000024",,"2","{""desc"":""<ul><li><span style=\""color: rgb(17, 31, 44);\"">一 、严禁通过宴请、安排消费活动、打电话、发短信、当面拜访、委托或授意中间人出面说情、举办联谊活动等形式，为自己或他人拉票。</span></li><li><span style=\""color: rgb(17, 31, 44);\"">二、 严禁贿赂委员、工作人员或以会议赞助等形式赠送现金、有价证券、支付凭证和纪念品。</span></li><li><span style=\""color: rgb(17, 31, 44);\"">三、严禁未经大会秘书处同意，散发各种宣传材料。</span></li><li><span style=\""color: rgb(17, 31, 44);\"">四、严禁传播小道消息、编造或散布谣言、诬告陷害或者侮辱诽谤他人。</span></li><li><span style=\""color: rgb(17, 31, 44);\"">五、严禁以同学、同乡、同事、战友等名义和形式，搞拉帮结伙。</span></li><li><span style=\""color: rgb(17, 31, 44);\"">六、严禁以威胁、欺骗、利诱和其他非法手段妨害代表自由行使选举权、被选举权和表决权。</span></li><li><span style=\""color: rgb(17, 31, 44);\"">七、严禁隐瞒、包庇、袒护选举中搞非组织活动的行为。</span></li><li><span style=\""color: rgb(17, 31, 44);\"">八、严禁阻挠对违反选举纪律、干扰破坏选举等问题的调查和处理。</span></li><li><span style=\""color: rgb(17, 31, 44);\"">九、严禁违反选举工作保密规定。</span></li></ul>""}","3",
"2933","100000024",,"3","{""desc"":""<p>北京十大公交卡告诉对方</p>""}","3",
"2934","100000024",,"4",,"3",
"2935","100000024",,"5","{""desc"":""<p>的说法等富含淀粉还是短发</p>"",""min"":""1""}","3",
"2936","100000024",,"6","{""desc"":""<p>和睡得很舒服花费大概花费大概</p>"",""min"":""1""}","3",
"2937","100000024",,"7","{""desc"":""<p>广东省风格豆腐干岁的法国士大夫的华盛顿</p>""}","3",
"2938","100000024",,"8","{""min"":""1""}","3",
"2939","100000024",,"9","{""min"":""1""}","3",
"2940","100000024",,"10",,"3",
"2941","100000024",,"11",,"2",
"2942","100000024",,"12",,"1",
"2943","100000025",,"1","{}","1",
"2944","100000025",,"2","{""desc"":""<p>j广告</p>""}","2",
"2945","100000025",,"3",,"1",
"2946","100000025",,"4",,"1",
"2947","100000025",,"5",,"1",
"2948","100000025",,"6",,"1",
"2949","100000025",,"7",,"1",
"2950","100000025",,"8",,"1",
"2951","100000025",,"9",,"1",
"2952","100000025",,"10",,"1",
"2953","100000025",,"11",,"1",
"2954","100000025",,"12",,"1",
"2955","100000026",,"1","{""min"":""59"",""c_min"":""77""}","3",
"2956","100000026",,"2","{""desc"":""<p>一 、严禁通过宴请、安排消费活动、打电话、发短信、当面拜访、委托或授意中间人出面说情、举办联谊活动等形式，为自己或他人拉票。二、 严禁贿赂委员、工作人员或以会议赞助等形式赠送现金、有价证券、支付凭证和纪念品。三、严禁未经大会秘书处同意，散发各种宣传材料。四、严禁传播小道消息、编造或散布谣言、诬告陷害或者侮辱诽谤他人。五、严禁以同学、同乡、同事、战友等名义和形式，搞拉帮结伙。六、严禁以威胁、欺骗、利诱和其他非法手段妨害代表自由行使选举权、被选举权和表决权。七、严禁隐瞒、包庇、袒护选举中搞非组织活动的行为。八、严禁阻挠对违反选举纪律、干扰破坏选举等问题的调查和处理。九、严禁违反选举工作保密规定</p>""}","3",
"2957","100000026",,"3","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea675ef5b5f7__!微信图片_20191011214748.png\""></p>""}","3",
"2958","100000026",,"4",,"3",
"2959","100000026",,"5","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea67680461d1__!5da045818771b__!9.jpg\""></p>"",""min"":""80""}","3",
"2960","100000026",,"6","{""desc"":""<p>张三  李四   王五   赵六 力气 </p>""}","3",
"2961","100000026",,"7","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea6769b47996__!5da044622360c__!0.jpg\""></p>""}","3",
"2962","100000026",,"8","{""min"":""80""}","3",
"2963","100000026",,"9","{""min"":""99""}","3",
"2964","100000026",,"10",,"3",
"2965","100000026",,"11",,"2",
"2966","100000026",,"12",,"1",
"2991","100000029",,"1","{""min"":""90"",""c_min"":""90""}","3",
"2992","100000029",,"2","{""desc"":""<ul><li>一 、严禁通过宴请、安排消费活动、打电话、发短信、当面拜访、委托或授意中间人出面说情、举办联谊活动等形式，为自己或他人拉票。</li><li>二、 严禁贿赂委员、工作人员或以会议赞助等形式赠送现金、有价证券、支付凭证和纪念品。</li><li>三、严禁未经大会秘书处同意，散发各种宣传材料。</li><li>四、严禁传播小道消息、编造或散布谣言、诬告陷害或者侮辱诽谤他人。</li><li>五、严禁以同学、同乡、同事、战友等名义和形式，搞拉帮结伙。</li><li>六、严禁以威胁、欺骗、利诱和其他非法手段妨害代表自由行使选举权、被选举权和表决权。</li><li>七、严禁隐瞒、包庇、袒护选举中搞非组织活动的行为。</li><li>八、严禁阻挠对违反选举纪律、干扰破坏选举等问题的调查和处理。</li><li>九、严禁违反选举工作保密规定</li></ul>""}","3",
"2993","100000029",,"3","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea68f11dc9ce__!5da044622360c__!0.jpg\""></p>""}","3",
"2994","100000029",,"4",,"3",
"2995","100000029",,"5","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea68f48bed15__!5da045818771b__!9.jpg\""></p>"",""min"":""90""}","2",
"2996","100000029",,"6","{""desc"":""<p>张三  李四   王五  赵丽  </p>"",""min"":""90""}","1",
"2997","100000029",,"7","{""desc"":""<p>投票说明</p>""}","1",
"2998","100000029",,"8","{""min"":""80""}","1",
"2999","100000029",,"9","{""min"":""90""}","1",
"3000","100000029",,"10",,"1",
"3001","100000029",,"11",,"1",
"3002","100000029",,"12",,"1",
"3003","100000030",,"1","{""min"":""80"",""c_min"":""80""}","3",
"3004","100000030",,"2","{""desc"":""<p>一 、严禁通过宴请、安排消费活动、打电话、发短信、当面拜访、委托或授意中间人出面说情、举办联谊活动等形式，为自己或他人拉票。二、 严禁贿赂委员、工作人员或以会议赞助等形式赠送现金、有价证券、支付凭证和纪念品。三、严禁未经大会秘书处同意，散发各种宣传材料。四、严禁传播小道消息、编造或散布谣言、诬告陷害或者侮辱诽谤他人。五、严禁以同学、同乡、同事、战友等名义和形式，搞拉帮结伙。六、严禁以威胁、欺骗、利诱和其他非法手段妨害代表自由行使选举权、被选举权和表决权。七、严禁隐瞒、包庇、袒护选举中搞非组织活动的行为。八、严禁阻挠对违反选举纪律、干扰破坏选举等问题的调查和处理。九、严禁违反选举工作保密规定</p>""}","3",
"3005","100000030",,"3","{""desc"":""<p>第三次测试于4月28日开始测试</p>""}","3",
"3006","100000030",,"4",,"3",
"3007","100000030",,"5","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea7a1111c5b5__!5da045818771b__!9.jpg\""></p>""}","3",
"3008","100000030",,"6","{""desc"":""<p>张武 黎明 大乔</p>""}","3",
"3009","100000030",,"7","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea7a12dd6d87__!111.jpg\""></p>""}","3",
"3010","100000030",,"8","{""min"":""80""}","3",
"3011","100000030",,"9","{""min"":""80""}","2",
"3012","100000030",,"10",,"1",
"3013","100000030",,"11",,"1",
"3014","100000030",,"12",,"1",
"3015","100000031",,"1","{""min"":""50"",""c_min"":""50""}","3",
"3016","100000031",,"2","{""desc"":""<p>一 、严禁通过宴请、安排消费活动、打电话、发短信、当面拜访、委托或授意中间人出面说情、举办联谊活动等形式，为自己或他人拉票。二、 严禁贿赂委员、工作人员或以会议赞助等形式赠送现金、有价证券、支付凭证和纪念品。三、严禁未经大会秘书处同意，散发各种宣传材料。四、严禁传播小道消息、编造或散布谣言、诬告陷害或者侮辱诽谤他人。五、严禁以同学、同乡、同事、战友等名义和形式，搞拉帮结伙。六、严禁以威胁、欺骗、利诱和其他非法手段妨害代表自由行使选举权、被选举权和表决权。七、严禁隐瞒、包庇、袒护选举中搞非组织活动的行为。八、严禁阻挠对违反选举纪律、干扰破坏选举等问题的调查和处理。九、严禁违反选举工作保密规定</p>""}","3",
"3017","100000031",,"3","{""desc"":""<p>测试需要同意测试</p>""}","3",
"3018","100000031",,"4",,"3",
"3019","100000031",,"5","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea7c13aa6a40__!timg.jpg\""></p>"",""min"":""50""}","3",
"3020","100000031",,"6","{""desc"":""<p>张琳，王小明， 刘烨</p>"",""min"":""50""}","3",
"3021","100000031",,"7","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea7c17701628__!九严禁.png\""></p>""}","3",
"3022","100000031",,"8","{""min"":""50""}","3",
"3023","100000031",,"9","{""min"":""50""}","2",
"3024","100000031",,"10",,"1",
"3025","100000031",,"11",,"1",
"3026","100000031",,"12",,"1",
"3027","100000032",,"1","{""min"":""1"",""c_min"":""1""}","2",
"3028","100000032",,"2","{""desc"":""<p>一 、严禁通过宴请、安排消费活动、打电话、发短信、当面拜访、委托或授意中间人出面说情、举办联谊活动等形式，为自己或他人拉票。二、 严禁贿赂委员、工作人员或以会议赞助等形式赠送现金、有价证券、支付凭证和纪念品。三、严禁未经大会秘书处同意，散发各种宣传材料。四、严禁传播小道消息、编造或散布谣言、诬告陷害或者侮辱诽谤他人。五、严禁以同学、同乡、同事、战友等名义和形式，搞拉帮结伙。六、严禁以威胁、欺骗、利诱和其他非法手段妨害代表自由行使选举权、被选举权和表决权。七、严禁隐瞒、包庇、袒护选举中搞非组织活动的行为。八、严禁阻挠对违反选举纪律、干扰破坏选举等问题的调查和处理。九、严禁违反选举工作保密规定</p>""}","1",
"3029","100000032",,"3","{""desc"":""<p>英文业务源</p>""}","1",
"3030","100000032",,"4",,"1",
"3031","100000032",,"5","{""desc"":""<p>而黑色</p>""}","1",
"3032","100000032",,"6","{}","1",
"3033","100000032",,"7","{""desc"":""<p>二和人h</p>""}","1",
"3034","100000032",,"8",,"1",
"3035","100000032",,"9",,"1",
"3036","100000032",,"10",,"1",
"3037","100000032",,"11",,"1",
"3038","100000032",,"12",,"1",
"3039","100000033",,"1","{""min"":""1"",""c_min"":""1""}","3",
"3040","100000033",,"2","{""desc"":""<p>一 、严禁通过宴请、安排消费活动、打电话、发短信、当面拜访、委托或授意中间人出面说情、举办联谊活动等形式，为自己或他人拉票。二、 严禁贿赂委员、工作人员或以会议赞助等形式赠送现金、有价证券、支付凭证和纪念品。三、严禁未经大会秘书处同意，散发各种宣传材料。四、严禁传播小道消息、编造或散布谣言、诬告陷害或者侮辱诽谤他人。五、严禁以同学、同乡、同事、战友等名义和形式，搞拉帮结伙。六、严禁以威胁、欺骗、利诱和其他非法手段妨害代表自由行使选举权、被选举权和表决权。七、严禁隐瞒、包庇、袒护选举中搞非组织活动的行为。八、严禁阻挠对违反选举纪律、干扰破坏选举等问题的调查和处理。九、严禁违反选举工作保密规定</p>""}","3",
"3041","100000033",,"3","{""desc"":""<p>p</p>""}","3",
"3042","100000033",,"4",,"3",
"3043","100000033",,"5","{""desc"":""<p><br></p><p>'立刻就会我国</p>""}","3",
"3044","100000033",,"6","{""desc"":""<p>无任何同仁堂 </p>""}","3",
"3045","100000033",,"7","{""desc"":""<p>那个大部分v阿萨</p>""}","3",
"3046","100000033",,"8",,"3",
"3047","100000033",,"9",,"3",
"3048","100000033",,"10",,"2",
"3049","100000033",,"11",,"1",
"3050","100000033",,"12",,"1",
"3051","100000034",,"1","{""min"":""50"",""c_min"":""50""}","3",
"3052","100000034",,"2",,"3",
"3053","100000034",,"3","{""desc"":""<p>1111</p>""}","3",
"3054","100000034",,"4",,"3",
"3055","100000034",,"5","{""desc"":""<p>1111</p>""}","3",
"3056","100000034",,"6","{""desc"":""<p>1111</p>"",""min"":""50""}","3",
"3057","100000034",,"7","{""desc"":""<p>111</p>""}","3",
"3058","100000034",,"8","{""min"":""50""}","3",
"3059","100000034",,"9","{""min"":""50""}","3",
"3060","100000034",,"10",,"3",
"3061","100000034",,"11",,"3",
"3062","100000034",,"12",,"3",
"3063","100000035",,"1","{""min"":""90"",""c_min"":""90""}","1",
"3064","100000035",,"2","{""desc"":""<ul><li>一 、严禁拉帮结派，对搞团团伙伙、结党营私的，一律给予纪律处分。</li><li>二、 严禁拉票贿选，对在民主推荐和选举中搞拉票、助选等非组织活动的，一律排除出人选名单或者取消候选人资 格，并视情节给予纪律处分，贿选的依法处理</li><li>三、严禁买官卖官，对以谋取职务调整、晋升等为目的贿赂他人或者收受贿赂的，一律先停职或者免职，并依纪依法处理。</li><li>四、严禁跑官要官，对采取拉关系或者要挟等手段谋取职务或者职级待遇的，一律不得提拔使用。</li><li>五、严禁造假骗官，对篡改、伪造干部档案材料的，一律对相关人员给予组织处理或者纪律处分。</li><li>六、严禁说情打招呼，对搞封官许愿或者为他人提拔重用说情打招呼的，对私自干预下级干部选拔任用的，一律记录在案，情节严重的严禁追究责任。</li><li>七、严禁违规用人，对突击提拔调整干部、超职数配备干部和违反规定程序选拔任用干部的，一律宣布无效，并视情节对相关人员给予纪律处分。</li><li>八、严禁跑风漏气，对泄露、扩散涉及选举人事安排等保密内容的，一律追究相关人员责任。</li><li>九、严禁干扰选举，对造谣、诬告他人或者妨害他人自由行使选举权的，一律严厉查处，涉嫌违法犯罪的移送司法机关处理。</li></ul>""}","1",
"3065","100000035",,"3","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea7fb8ad20e8__!5da044622360c__!0.jpg\""></p>""}","1",
"3066","100000035",,"4",,"1",
"3067","100000035",,"5","{""min"":""79""}","1",
"3068","100000035",,"6","{""desc"":""<p>45</p>"",""min"":""88""}","1",
"3069","100000035",,"7","{""desc"":""<p>5</p>""}","1",
"3070","100000035",,"8","{""min"":""55""}","1",
"3071","100000035",,"9","{""min"":""555""}","1",
"3072","100000035",,"10",,"1",
"3073","100000035",,"11",,"1",
"3074","100000035",,"12",,"1",
"3075","100000036",,"1","{""min"":""50"",""c_min"":""50""}","3",
"3076","100000036",,"2",,"3",
"3077","100000036",,"3","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea80357ed725__!3 宣布批复.jpg\""></p>""}","3",
"3078","100000036",,"4",,"3",
"3079","100000036",,"5","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea803e28e169__!5 选举办法.png\""></p>"",""min"":""50""}","3",
"3080","100000036",,"6","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea803faae94f__!6 监票人建议名单.jpg\""></p>"",""min"":""50""}","3",
"3081","100000036",,"7","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea8040b1a90b__!7 投票说明.png\""></p>""}","3",
"3082","100000036",,"8","{""min"":""50""}","3",
"3083","100000036",,"9","{""min"":""50""}","3",
"3084","100000036",,"10",,"3",
"3085","100000036",,"11",,"2",
"3086","100000036",,"12",,"1",
"3087","100000037",,"1","{""min"":""50"",""c_min"":""50""}","2",
"3088","100000037",,"2","{""desc"":""<ul><li>一 、严禁拉帮结派，对搞团团伙伙、结党营私的，一律给予纪律处分。</li><li>二、 严禁拉票贿选，对在民主推荐和选举中搞拉票、助选等非组织活动的，一律排除出人选名单或者取消候选人资格，并视情节给予纪律处分，贿选的依法处理</li><li>三、严禁买官卖官，对以谋取职务调整、晋升等为目的贿赂他人或者收受贿赂的，一律先停职或者免职，并依纪依法处理。</li><li>四、严禁跑官要官，对采取拉关系或者要挟等手段谋取职务或者职级待遇的，一律不得提拔使用。</li><li>五、严禁造假骗官，对篡改、伪造干部档案材料的，一律对相关人员给予组织处理或者纪律处分。</li><li>六、严禁说情打招呼，对搞封官许愿或者为他人提拔重用说情打招呼的，对私自干预下级干部选拔任用的，一律记录在案，情节严重的严禁追究责任。</li><li>七、严禁违规用人，对突击提拔调整干部、超职数配备干部和违反规定程序选拔任用干部的，一律宣布无效，并视情节对相关人员给予纪律处分。</li><li>八、严禁跑风漏气，对泄露、扩散涉及选举人事安排等保密内容的，一律追究相关人员责任。</li><li>九、严禁干扰选举，对造谣、诬告他人或者妨害他人自由行使选举权的，一律严厉查处，涉嫌违法犯罪的移送司法机关处理。</li></ul>""}","1",
"3089","100000037",,"3","{""desc"":""<p>456</p>""}","1",
"3090","100000037",,"4",,"1",
"3091","100000037",,"5","{""desc"":""<p>4444</p>"",""min"":""50""}","1",
"3092","100000037",,"6","{""desc"":""<p>5555</p>"",""min"":""50""}","1",
"3093","100000037",,"7","{""desc"":""<p>6666</p>""}","1",
"3094","100000037",,"8","{""min"":""50""}","1",
"3095","100000037",,"9","{""min"":""50""}","1",
"3096","100000037",,"10",,"1",
"3097","100000037",,"11",,"1",
"3098","100000037",,"12",,"1",
"3099","100000038",,"1","{""min"":""50""}","3",
"3100","100000038",,"2",,"3",
"3101","100000038",,"3","{""desc"":""<p>1111</p>""}","3",
"3102","100000038",,"4",,"3",
"3103","100000038",,"5","{""desc"":""<p>3333</p>"",""min"":""50""}","3",
"3104","100000038",,"6","{""desc"":""<p>555</p>"",""min"":""50""}","3",
"3105","100000038",,"7","{""desc"":""<p>666</p>""}","3",
"3106","100000038",,"8","{""min"":""50""}","3",
"3107","100000038",,"9","{""min"":""50""}","3",
"3108","100000038",,"10",,"3",
"3109","100000038",,"11",,"3",
"3110","100000038",,"12",,"3",
"3111","100000039",,"1","{""min"":""50""}","3",
"3112","100000039",,"2",,"3",
"3113","100000039",,"3","{""desc"":""<p>1111</p>""}","3",
"3114","100000039",,"4",,"3",
"3115","100000039",,"5","{""desc"":""<p>333</p>"",""min"":""50""}","3",
"3116","100000039",,"6","{""desc"":""<p>444</p>"",""min"":""50""}","3",
"3117","100000039",,"7","{""desc"":""<p>吞吞吐吐</p>""}","3",
"3118","100000039",,"8","{""min"":""50""}","3",
"3119","100000039",,"9","{""min"":""50""}","3",
"3120","100000039",,"10",,"3",
"3121","100000039",,"11",,"3",
"3122","100000039",,"12",,"3",
"3123","100000040",,"1","{""min"":""50"",""c_min"":""50""}","3",
"3124","100000040",,"2",,"3",
"3125","100000040",,"3","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea8e1e34126d__!3 宣布批复.jpg\""></p>""}","3",
"3126","100000040",,"4",,"3",
"3127","100000040",,"5","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea8e25763f3a__!5 选举办法.png\""></p>"",""min"":""50""}","3",
"3128","100000040",,"6","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea8e26701cca__!6 监票人建议名单.jpg\""></p>"",""min"":""50""}","3",
"3129","100000040",,"7","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea8e273ea4c8__!7 投票说明.png\""></p>""}","2",
"3130","100000040",,"8","{""min"":""50""}","1",
"3131","100000040",,"9","{""min"":""50""}","1",
"3132","100000040",,"10",,"1",
"3133","100000040",,"11",,"1",
"3134","100000040",,"12",,"1",
"3183","100000045",,"1","{""min"":""50""}","3",
"3184","100000045",,"2",,"3",
"3185","100000045",,"3","{""desc"":""<p>222</p>""}","2",
"3186","100000045",,"4",,"1",
"3187","100000045",,"5","{""desc"":""<p>2</p>"",""min"":""50""}","1",
"3188","100000045",,"6","{""desc"":""<p>1</p>"",""min"":""50""}","1",
"3189","100000045",,"7","{""desc"":""<p>1</p>""}","1",
"3190","100000045",,"8","{""min"":""50""}","1",
"3191","100000045",,"9","{""min"":""50""}","1",
"3192","100000045",,"10",,"1",
"3193","100000045",,"11",,"1",
"3194","100000045",,"12",,"1",
"3195","100000046",,"1","{""min"":""50""}","1",
"3196","100000046",,"2",,"1",
"3197","100000046",,"3","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea941dfb91ea__!3 宣布批复.jpg\""></p>""}","1",
"3198","100000046",,"4",,"1",
"3199","100000046",,"5",,"1",
"3200","100000046",,"6",,"1",
"3201","100000046",,"7",,"1",
"3202","100000046",,"8",,"1",
"3203","100000046",,"9",,"1",
"3204","100000046",,"10",,"1",
"3205","100000046",,"11",,"1",
"3206","100000046",,"12",,"1",
"3207","100000047",,"1","{""min"":""50""}","1",
"3208","100000047",,"2",,"1",
"3209","100000047",,"3","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea94c5a9d92d__!3 宣布批复.jpg\""></p>""}","1",
"3210","100000047",,"4",,"1",
"3211","100000047",,"5","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea94fa05b568__!5 选举办法.png\""></p>"",""min"":""50""}","1",
"3212","100000047",,"6","{""desc"":""<p>总监票人：张武</p><p><br></p><p>监票人：刘备</p><p><br></p><p>计票人：王艳 、李明</p>"",""min"":""50""}","1",
"3213","100000047",,"7","{""desc"":""<p><br></p><p><img src=\""https://f.shyunhua.com//yzxfile/5ea95029ea914__!7 投票说明.png\""></p>""}","1",
"3214","100000047",,"8","{""min"":""50""}","1",
"3215","100000047",,"9","{""min"":""50""}","1",
"3216","100000047",,"10",,"1",
"3217","100000047",,"11",,"1",
"3218","100000047",,"12",,"1",
"3219","100000048",,"1","{""min"":""1"",""c_min"":""1""}","2",
"3220","100000048",,"2","{""desc"":""<ul><li>一 、严禁拉帮结派，对搞团团伙伙、结党营私的，一律给予纪律处分。</li><li>二、 严禁拉票贿选，对在民主推荐和选举中搞拉票、助选等非组织活动的，一律排除出人选名单或者取消候选人资格，并视情节给予纪律处分，贿选的依法处理</li><li>三、严禁买官卖官，对以谋取职务调整、晋升等为目的贿赂他人或者收受贿赂的，一律先停职或者免职，并依纪依法处理。</li><li>四、严禁跑官要官，对采取拉关系或者要挟等手段谋取职务或者职级待遇的，一律不得提拔使用。</li><li>五、严禁造假骗官，对篡改、伪造干部档案材料的，一律对相关人员给予组织处理或者纪律处分。</li><li>六、严禁说情打招呼，对搞封官许愿或者为他人提拔重用说情打招呼的，对私自干预下级干部选拔任用的，一律记录在案，情节严重的严禁追究责任。</li><li>七、严禁违规用人，对突击提拔调整干部、超职数配备干部和违反规定程序选拔任用干部的，一律宣布无效，并视情节对相关人员给予纪律处分。</li><li>八、严禁跑风漏气，对泄露、扩散涉及选举人事安排等保密内容的，一律追究相关人员责任。</li><li>九、严禁干扰选举，对造谣、诬告他人或者妨害他人自由行使选举权的，一律严厉查处，涉嫌违法犯罪的移送司法机关处理。</li></ul>""}","1",
"3221","100000048",,"3","{""desc"":""<p>宣布批复</p>""}","1",
"3222","100000048",,"4",,"1",
"3223","100000048",,"5","{""desc"":""<p>选举办法说明</p>"",""min"":""1""}","1",
"3224","100000048",,"6","{""desc"":""<ul><li>卢松安</li><li>王英超</li><li>高硕</li><li>林良斐</li></ul>"",""min"":""1""}","1",
"3225","100000048",,"7","{""desc"":""<p>投票说明详情</p>""}","1",
"3226","100000048",,"8","{""min"":""1""}","1",
"3227","100000048",,"9","{""min"":""1""}","1",
"3228","100000048",,"10",,"1",
"3229","100000048",,"11",,"1",
"3230","100000048",,"12",,"1",
"3231","100000049",,"1","{""min"":""80"",""c_min"":""80""}","3",
